"id","account","password","name","phone","sex","birth","organization_id","role_id","status","type","create_user_id","create_time","super_perm"
"1","admin","123456","lala","18888888888","1","2020-2-2","9","0","1","1","11","2020-5-27 13:41:40","1"
"43","123","123456","陶保强","13627384844","1","2000-1-3","9","0","1","1","1","2020-5-27 13:57:24","2"
"44","huawei","123456","华为账号","13122222222","2","2020-5-12","5","0","1","1","1","2020-5-27 14:06:27","2"
"45","1234","123456","测试-1","13121111111","1","2020-5-5","56","35","1","1","44","2020-5-27 14:28:40","0"
"46","huaweiyanfa","123456","华为研发","14120152834","1","1961-1-31","64","35","1","1","44","2020-5-27 14:31:45","0"
"47","wurizhi","123456","无日志","13122002020","2","2020-5-4","64","36","1","1","44","2020-5-27 16:22:27","0"
"48","hongqi","123456","红旗新村","13120512076","1","1990-9-3","32","0","1","1","1","2020-5-27 16:46:37","2"
"49","yunhuayanfa","123456","云话研发部","13120738432","1","1960-5-9","49","37","1","1","43","2020-5-28 14:38:47","0"
"50","huaweichanpin","123456","华为产品","13122222222","1","1980-10-15","83","35","1","1","44","2020-5-29 10:07:38","0"
"51","qiaohaisong","123456","乔海松","18721126396","1","1990-2-28","95","38","1","1","1","2020-6-17 10:21:57","2"
