"id","account","password","name","phone","sex","birth","organization_id","role_id","status","type","create_user_id","create_time","super_perm"
"1","admin","123456","lala","18888888888","1","2/2/2020","9","0","1","1","11","27/5/2020 13:41:40","1"
"43","123","123456","陶保强","13627384844","1","3/1/2000","9","0","1","1","1","27/5/2020 13:57:24","2"
"44","huawei","123456","华为账号","13122222222","2","12/5/2020","5","0","1","1","1","27/5/2020 14:06:27","2"
"45","1234","123456","测试-1","13121111111","1","5/5/2020","56","35","1","1","44","27/5/2020 14:28:40","0"
"46","huaweiyanfa","123456","华为研发","14120152834","1","31/1/1961","64","35","1","1","44","27/5/2020 14:31:45","0"
"47","wurizhi","123456","无日志","13122002020","2","4/5/2020","64","36","1","1","44","27/5/2020 16:22:27","0"
"48","hongqi","123456","红旗新村","13120512076","1","3/9/1990","32","0","1","1","1","27/5/2020 16:46:37","2"
"49","yunhuayanfa","123456","云话研发部","13120738432","1","9/5/1960","49","37","1","1","43","28/5/2020 14:38:47","0"
"50","huaweichanpin","123456","华为产品","13122222222","1","15/10/1980","83","35","1","1","44","29/5/2020 10:07:38","0"
"51","qiaohaisong","123456","乔海松","18721126396","1","28/2/1990","95","38","1","1","1","17/6/2020 10:21:57","2"
